0;40;22.1;10.092083;+;41;41;7;41.685278;M110;M 110;;;;
0;7;15.9;1.816250;+;27;42;32;27.708889;NGC1;NGC 1;;;;
0;7;17.1;1.821250;+;27;40;43;27.678611;NGC2;NGC 2;;;;
0;7;16.8;1.820000;+;8;18;5;8.301389;NGC3;NGC 3;;;;
0;7;24.5;1.852083;+;8;22;26;8.373889;NGC4;NGC 4;;;;
0;7;48.8;1.953333;+;35;21;46;35.362778;NGC5;NGC 5;;;;
0;9;32.6;2.385833;+;33;18;32;33.308889;NGC6;NGC 6;;;;
0;8;20.7;2.086250;-;29;54;59;-29.916389;NGC7;NGC 7;;;;
0;8;45.3;2.188750;+;23;50;19;23.838611;NGC8;NGC 8;;;;
0;8;54.5;2.227083;+;23;49;4;23.817778;NGC9;NGC 9;;;;
0;8;34.3;2.142917;-;33;51;28;-33.857778;NGC10;NGC 10;;;;
0;8;42.3;2.176250;+;37;26;53;37.448056;NGC11;NGC 11;;;;
0;8;44.8;2.186667;+;4;36;44;4.612222;NGC12;NGC 12;;;;
0;8;47.7;2.198750;+;33;25;59;33.433056;NGC13;NGC 13;;;;
0;8;46.3;2.192917;+;15;48;57;15.815833;NGC14;NGC 14;;;;
0;9;2.4;2.260000;+;21;37;30;21.625000;NGC15;NGC 15;;;;
0;9;4.2;2.267500;+;27;43;48;27.730000;NGC16;NGC 16;;;;
0;11;6.6;2.777500;-;12;6;28;-12.107778;NGC17;NGC 17;;;;
0;9;23.0;2.345833;+;27;43;56;27.732222;NGC18;NGC 18;;;;
0;10;40.8;2.670000;+;32;58;58;32.982778;NGC19;NGC 19;;;;
0;9;32.6;2.385833;+;33;18;32;33.308889;NGC20;NGC 20;;;;
0;10;47.0;2.695833;+;33;21;7;33.351944;NGC21;NGC 21;;;;
0;9;48.2;2.450833;+;27;49;58;27.832778;NGC22;NGC 22;;;;
0;9;53.3;2.472083;+;25;55;26;25.923889;NGC23;NGC 23;;;;
0;9;56.1;2.483750;-;24;57;52;-24.964444;NGC24;NGC 24;;;;
0;9;59.3;2.497083;-;57;1;13;-57.020278;NGC25;NGC 25;;;;
0;10;25.9;2.607917;+;25;49;56;25.832222;NGC26;NGC 26;;;;
0;10;32.7;2.636250;+;28;59;49;28.996944;NGC27;NGC 27;;;;
0;10;25.2;2.605000;-;56;59;20;-56.988889;NGC28;NGC 28;;;;
0;10;47.0;2.695833;+;33;21;7;33.351944;NGC29;NGC 29;;;;
0;10;50.8;2.711667;+;21;58;39;21.977500;NGC30;NGC 30;;;;
0;10;38.5;2.660417;-;56;59;10;-56.986111;NGC31;NGC 31;;;;
0;10;53.2;2.721667;+;18;47;33;18.792500;NGC32;NGC 32;;;;
0;10;56.6;2.735833;+;3;40;35;3.676389;NGC33;NGC 33;;;;
0;11;6.6;2.777500;-;12;6;28;-12.107778;NGC34;NGC 34;;;;
0;11;10.4;2.793333;-;12;1;14;-12.020556;NGC35;NGC 35;;;;
0;11;22.4;2.843333;+;6;23;20;6.388889;NGC36;NGC 36;;;;
0;11;23.0;2.845833;-;56;57;25;-56.956944;NGC37;NGC 37;;;;
0;11;47.0;2.945833;-;5;35;11;-5.586389;NGC38;NGC 38;;;;
0;12;18.8;3.078333;+;31;3;39;31.060833;NGC39;NGC 39;;;;
0;13;1.0;3.254167;+;72;31;21;72.522500;NGC40;NGC 40;;;;
0;12;48.0;3.200000;+;22;1;26;22.023889;NGC41;NGC 41;;;;
0;12;56.3;3.234583;+;22;6;3;22.100833;NGC42;NGC 42;;;;
